iter	Logloss
0	0.6288322907
1	0.5767147647
2	0.5310568605
3	0.4919325753
4	0.4595131515
5	0.4308544601
6	0.4061940307
7	0.3847538784
8	0.3658255782
9	0.3493699161
10	0.3350685445
11	0.3223049201
12	0.3115097752
13	0.3017065946
14	0.293291176
15	0.2859858476
16	0.279378142
17	0.2734731166
18	0.2685358824
19	0.2640007623
20	0.2597732404
21	0.2562628732
22	0.2531315399
23	0.2505537374
24	0.2479038794
25	0.2456004274
26	0.2435320105
27	0.2419910283
28	0.2402708438
29	0.2389246891
30	0.2376012498
31	0.2362699194
32	0.2350750506
33	0.2341580635
34	0.2332939042
35	0.2325560758
36	0.2318195644
37	0.2312905062
38	0.2305446008
39	0.2300217941
40	0.2296102709
41	0.2290576641
42	0.2287877995
43	0.2284307134
44	0.2279525983
45	0.2276253814
46	0.2272624347
47	0.2267866272
48	0.2265853042
49	0.2261889601
50	0.225768886
51	0.2254319692
52	0.225288949
53	0.2250474862
54	0.2246669468
55	0.2244231078
56	0.2241173402
57	0.223875361
58	0.2236703721
59	0.2234647547
60	0.2231761616
61	0.2230577966
62	0.2228300091
63	0.2224300493
64	0.2222387415
65	0.2220349335
66	0.2217677083
67	0.2214464084
68	0.2212687407
69	0.2210621712
70	0.2208612811
71	0.2207080125
72	0.220465336
73	0.2203929362
74	0.2199902816
75	0.2198372724
76	0.2196119272
77	0.2194822137
78	0.2192412078
79	0.2190951404
80	0.2189131399
81	0.218659684
82	0.218379938
83	0.218282433
84	0.2180724377
85	0.217804525
86	0.2175625603
87	0.2173338587
88	0.2171855894
89	0.2170242683
90	0.2168947577
91	0.216748355
92	0.2165778209
93	0.2164186876
94	0.2162284438
95	0.2160377937
96	0.215944252
97	0.2158095219
98	0.2156801847
99	0.2155873737
