iter	Passed	Remaining
0	150	14880
1	152	7449
2	153	4966
3	155	3726
4	156	2980
5	158	2481
6	159	2125
7	161	1857
8	163	1649
9	164	1481
10	166	1345
11	167	1231
12	169	1135
13	171	1052
14	172	979
15	174	918
16	176	862
17	178	811
18	179	766
19	181	725
20	182	687
21	184	654
22	186	623
23	187	594
24	189	568
25	191	543
26	192	520
27	194	499
28	195	479
29	197	460
30	199	443
31	200	426
32	202	411
33	204	396
34	205	382
35	207	368
36	209	355
37	210	343
38	212	332
39	213	320
40	215	310
41	217	299
42	218	290
43	220	280
44	221	271
45	223	262
46	224	253
47	226	245
48	227	237
49	229	229
50	231	222
51	232	215
52	234	208
53	236	201
54	237	194
55	239	187
56	240	181
57	242	175
58	243	169
59	245	163
60	246	157
61	248	152
62	249	146
63	251	141
64	252	136
65	254	130
66	255	125
67	257	121
68	258	116
69	260	111
70	261	106
71	263	102
72	264	97
73	266	93
74	267	89
75	269	85
76	270	80
77	272	76
78	274	72
79	275	68
80	277	64
81	278	61
82	280	57
83	281	53
84	283	49
85	284	46
86	286	42
87	287	39
88	289	35
89	290	32
90	292	28
91	293	25
92	294	22
93	296	18
94	298	15
95	299	12
96	301	9
97	302	6
98	304	3
99	305	0
